id,lucsum,soilsum,vegsum,ADMIN,ADM0_A3,NAME,NAME_LONG,BRK_NAME,cstock,tot_H,tot_S
banp,26459.89992243052,3938880.546616852,3526358.727803677,Ethiopia,ETH,Ethiopia,Ethiopia,Ethiopia,5,606787.03943839,688661.2833694031
banp,14611.8997143209,1882857.478017807,1634272.938967884,South Sudan,SDS,S. Sudan,South Sudan,S. Sudan,5,509885.92279578745,580757.7213405616
banp,1211.599999062717,64821.82100248337,3759.168863672763,Somalia,SOM,Somalia,Somalia,Somalia,5,42085.63481542827,71511.18910640376
banp,62477.80034968257,8667118.846696615,5932949.1091790805,Kenya,KEN,Kenya,Kenya,Kenya,5,457019.60019248264,533317.3465760484
banp,48934.8999042511,5511460.234985352,1412819.835189819,Malawi,MWI,Malawi,Malawi,Malawi,5,190771.23820533213,252716.86668670576
banp,554104.4987016991,71860494.74199963,76383056.18304351,United Republic of Tanzania,TZA,Tanzania,Tanzania,Tanzania,5,605995.3393181713,677323.5313842983
banp,415.6000011265278,23753.66345846653,1775.170221492648,Somaliland,SOL,Somaliland,Somaliland,Somaliland,5,49720.441704530545,81155.75177850516
banp,5763.899918556213,263820.849822998,32928.5717010498,Morocco,MAR,Morocco,Morocco,Morocco,5,44570.92946872062,69745.11178502202
banp,NA,NA,NA,Western Sahara,SAH,W. Sahara,Western Sahara,W. Sahara,5,585407.4775353358,659713.6305861508
banp,3884.999987125397,432675.2033952175,546663.8791230966,Republic of the Congo,COG,Congo,Republic of the Congo,Republic of the Congo,5,599698.3701039595,660952.2601055012
banp,171747.199864164,27910669.02078401,32241387.569876,Democratic Republic of the Congo,COD,Dem. Rep. Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,5,818962.4196046994,908343.0207066231
banp,NA,NA,NA,Namibia,NAM,Namibia,Namibia,Namibia,5,585407.4775353358,659713.6305861508
banp,3409.59999936074,211570.6827960014,65147.34605211578,South Africa,ZAF,South Africa,South Africa,South Africa,5,108606.3061655052,142734.61316914717
banp,NA,NA,NA,Libya,LBY,Libya,Libya,Libya,5,585407.4775353358,659713.6305861508
banp,NA,NA,NA,Tunisia,TUN,Tunisia,Tunisia,Tunisia,5,585407.4775353358,659713.6305861508
banp,1403.999994538724,192527.0750432014,25012.02727602422,Zambia,ZMB,Zambia,Zambia,Zambia,5,172687.97709751438,248108.1278707701
banp,1084.800004005432,120497.2658538818,131565.2778081894,Sierra Leone,SLE,Sierra Leone,Sierra Leone,Sierra Leone,5,528183.8527596934,589276.6772203606
banp,39175.10007196665,4561655.16655922,3365202.985900906,Guinea,GIN,Guinea,Guinea,Guinea,5,403378.2850322467,467421.780441284
banp,9032.000038146973,1188800.26058197,1458511.161888123,Liberia,LBR,Liberia,Liberia,Liberia,5,694422.180978793,766813.6934409903
banp,8763.70001720637,1256396.331771851,965422.1182808876,Central African Republic,CAF,Central African Rep.,Central African Republic,Central African Rep.,5,517008.7857042295,595858.8126469358
banp,4.699999809265137,600.0479736328125,60.64204788208008,Sudan,SDN,Sudan,Sudan,Sudan,5,146006.70554817302,216225.08829096885
banp,NA,NA,NA,Djibouti,DJI,Djibouti,Djibouti,Djibouti,5,585407.4775353358,659713.6305861508
banp,NA,NA,NA,Eritrea,ERI,Eritrea,Eritrea,Eritrea,5,585407.4775353358,659713.6305861508
banp,146077.1997413635,16985442.92788029,18143908.49320126,Ivory Coast,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,5,543682.1897666845,607634.631536342
banp,1153.499975562096,137486.9046020508,50341.12620353699,Mali,MLI,Mali,Mali,Mali,5,250946.07589551204,316501.1683386477
banp,1509.4000043645501,134756.0167217255,10444.07954183221,Senegal,SEN,Senegal,Senegal,Senegal,5,88875.69443512695,137978.5226997601
banp,296547.200027518,31151791.76732922,38574258.71288395,Nigeria,NGA,Nigeria,Nigeria,Nigeria,5,554913.5485059995,612690.1367538102
banp,1270.399994194508,135171.6441240311,67803.70227986574,Benin,BEN,Benin,Benin,Benin,5,274897.86721417477,333418.3368363073
banp,56865.19986305386,6257515.301443338,3226673.162084624,Angola,AGO,Angola,Angola,Angola,5,290593.57913579885,351116.2436842781
banp,2.399999722838402,15.51504248380661,1.214183144271374,Botswana,BWA,Botswana,Botswana,Botswana,5,-10552.44612678574,-6996.9151469731205
banp,13850.20006608963,1353081.250196457,939462.9804236889,Zimbabwe,ZWE,Zimbabwe,Zimbabwe,Zimbabwe,5,319930.5221978415,373662.2144518843
banp,NA,NA,NA,Chad,TCD,Chad,Chad,Chad,5,585407.4775353358,659713.6305861508
banp,11.80000016838312,735.3987195491791,548.3198485523462,Algeria,DZA,Algeria,Algeria,Algeria,5,209176.96886749627,243454.027340409
banp,30025.99999275804,3760334.396796227,2609638.776757121,Mozambique,MOZ,Mozambique,Mozambique,Mozambique,5,415145.9417941747,484025.7099529954
banp,849.0999913439155,82622.24454498291,59125.29602241516,eSwatini,SWZ,eSwatini,Kingdom of eSwatini,eSwatini,5,326184.17056953936,379702.28971098084
banp,180990.4004516602,25618895.76290131,30956343.6082077,Burundi,BDI,Burundi,Burundi,Burundi,5,738560.8481862138,816412.4504503849
banp,92149.19834899902,13066091.70458984,16504368.38183594,Rwanda,RWA,Rwanda,Rwanda,Rwanda,5,768361.173272322,846347.2064259406
banp,496308.5005108342,83237420.13162136,59531185.01703501,Uganda,UGA,Uganda,Uganda,Uganda,5,575212.7773617504,667454.9634723475
banp,0.1000000014901161,6.371710300445557,0.2837493419647217,Lesotho,LSO,Lesotho,Lesotho,Lesotho,5,50478.15260075303,85522.55873100126
banp,57745.0005313307,7251649.772984505,8411779.511771202,Cameroon,CMR,Cameroon,Cameroon,Cameroon,5,630909.6630028712,699978.9735655665
banp,2629.800065279007,320608.2666625977,475977.7030639648,Gabon,GAB,Gabon,Gabon,Gabon,5,757064.9625033671,824117.4160311301
banp,NA,NA,NA,Niger,NER,Niger,Niger,Niger,5,585407.4775353358,659713.6305861508
banp,0.4999999701976776,58.36403274536133,12.66713809967041,Burkina Faso,BFA,Burkina Faso,Burkina Faso,Burkina Faso,5,181559.75134530175,245760.1911918436
banp,741.3999984264374,82600.33074951172,69343.37549304962,Togo,TGO,Togo,Togo,Togo,5,426738.1719655367,488014.38185042125
banp,140954.0992245674,17475986.00844097,17307423.76127911,Ghana,GHA,Ghana,Ghana,Ghana,5,545539.6442506682,613730.582701696
banp,3866.099901437759,498955.2548341751,88545.66878056526,Guinea-Bissau,GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,5,183948.84312290192,254931.33120003116
banp,18265.19997834414,30246.19544701281,1764.708957374902,Egypt,EGY,Egypt,Egypt,Egypt,5,-16461.12395644829,-15550.353337151453
banp,NA,NA,NA,Mauritania,MRT,Mauritania,Mauritania,Mauritania,5,585407.4775353358,659713.6305861508
banp,104.6999969482422,13547.4599609375,18990.267578125,Equatorial Guinea,GNQ,Eq. Guinea,Equatorial Guinea,Eq. Guinea,5,765329.402822667,836495.6224568379
banp,NA,NA,NA,Gambia,GMB,Gambia,The Gambia,Gambia,5,585407.4775353358,659713.6305861508
banp,NA,NA,NA,Bir Tawil,BRT,Bir Tawil,Bir Tawil,Bir Tawil,5,585407.4775353358,659713.6305861508
banp,30713.2000669837,5460793.061290741,5727987.016437888,Madagascar,MDG,Madagascar,Madagascar,Madagascar,5,828479.9579029889,926269.7087970537
banp,NA,NA,NA,Comoros,COM,Comoros,Comoros,Comoros,5,585407.4775353358,659713.6305861508
banp,139,22941.001953125,5336.65087890625,São Tomé and Principe,STP,São Tomé and Principe,São Tomé and Principe,Sao Tome and Principe,5,273731.21112485015,364504.95986023685
banp,NA,NA,NA,Cabo Verde,CPV,Cabo Verde,Republic of Cabo Verde,Cabo Verde,5,585407.4775353358,659713.6305861508
barl,191846.5992491245,21135047.95241294,13285529.67342596,Ethiopia,ETH,Ethiopia,Ethiopia,Ethiopia,0.7,352338.7787539463,412930.2952015863
barl,NA,NA,NA,South Sudan,SDS,S. Sudan,South Sudan,S. Sudan,0.7,87627.85596559895,110834.23857600195
barl,NA,NA,NA,Somalia,SOM,Somalia,Somalia,Somalia,0.7,87627.85596559895,110834.23857600195
barl,7216.200074672699,917240.9836883545,1084772.686599731,Kenya,KEN,Kenya,Kenya,Kenya,0.7,665139.8874828701,735049.6094706543
