Country,scenario,c_loss_ratio,region,co2_low,co2_high,luc
Algeria,b,H,N_Afr,156248519896.95422,156248519896.95422,1659106.9403347902
Algeria,b,S,N_Afr,199046830979.04294,199046830979.04294,1659106.9403347902
Algeria,h,H,N_Afr,-25853758518.896976,0,-257378.38512288808
Algeria,h,S,N_Afr,-32751990785.60309,0,-257378.38512288808
Algeria,p,H,N_Afr,-24222585786.9002,1377055230.6703858,-237522.1124446198
Algeria,p,S,N_Afr,-30650657923.581436,1766598248.8315523,-237522.1124446198
Angola,b,H,C_Afr,1813258673132.0432,1813258673132.0432,4755719.551346561
Angola,b,S,C_Afr,2125572263245.1575,2125572263245.1575,4755719.551346561
Angola,h,H,C_Afr,-76532585.5236944,0,-223.50787837774533
Angola,h,S,C_Afr,-90583433.94700144,0,-223.50787837774533
Angola,p,H,C_Afr,690611662941.3195,690688195526.8431,1911552.8625343388
Angola,p,S,C_Afr,816425061171.1776,816515644605.1246,1911552.8625343388
Benin,b,H,W_Afr,1065469306568.6427,1065469306568.6427,2879019.0705890013
Benin,b,S,W_Afr,1229939739515.256,1229939739515.256,2879019.0705890013
Benin,h,H,W_Afr,-2964488255.69109,0,-13975.067296527375
Benin,h,S,W_Afr,-3853567314.235557,0,-13975.067296527375
Benin,p,H,W_Afr,437871633603.6891,440835590886.8151,1160793.4790110504
Benin,p,S,W_Afr,503792230408.7247,507645193926.1649,1160793.4790110504
Botswana,b,H,S_Afr,2085377316.0269606,2085377316.0269606,155273.0242427261
Botswana,b,S,S_Afr,3191319344.105144,3191319344.105144,155273.0242427261
Botswana,h,H,S_Afr,0,0,0
Botswana,h,S,S_Afr,0,0,0
Botswana,p,H,S_Afr,943400616.0336088,943400616.0336088,84869.83437448247
Botswana,p,S,S_Afr,1470867505.2576532,1470867505.2576532,84869.83437448247
Burkina Faso,b,H,W_Afr,1338839640988.2495,1338839640988.2495,10330278.472788475
Burkina Faso,b,S,W_Afr,1837953732497.902,1837953732497.902,10330278.472788475
Burkina Faso,h,H,W_Afr,-2052446267.908318,0,-9997.245843959332
Burkina Faso,h,S,W_Afr,-2699287342.857407,0,-9997.245843959332
Burkina Faso,p,H,W_Afr,526423082180.0324,528475528447.94073,4112123.34631496
Burkina Faso,p,S,W_Afr,724518802729.1571,727218090072.0145,4112123.34631496
Cameroon,b,H,C_Afr,2394227484253.885,2394227484253.885,7766896.373901277
Cameroon,b,S,C_Afr,2866109652409.7334,2866109652409.7334,7766896.373901277
Cameroon,h,H,C_Afr,-1194291750.4489603,0,-4488.620341703412
Cameroon,h,S,C_Afr,-1441146742.5118277,0,-4488.620341703412
Cameroon,p,H,C_Afr,826924025002.6533,828118316753.1023,3167781.8144377475
Cameroon,p,S,C_Afr,1015679279787.8148,1017120426530.3267,3167781.8144377475
Central African Republic,b,H,C_Afr,808228609858.1257,809118982733.3362,1813961.417980476
