Item,CountryName,region,scenario,luc,c_loss_ratio,co2_ha,co2_low,co2_high
banp,Algeria,N_Afr,b,12.221545915551815,H,209176.96886749627,2556465.929490058,2556465.929490058
banp,Algeria,N_Afr,b,12.221545915551815,S,243454.027340409,2975384.5734668155,2975384.5734668155
banp,Algeria,N_Afr,p,-2.227076835703432,H,209176.96886749627,-465853.1819274589,0
banp,Algeria,N_Afr,p,-2.227076835703432,S,243454.027340409,-542190.8248485349,0
banp,Algeria,N_Afr,h,-2.227076835703432,H,209176.96886749627,-465853.1819274589,0
banp,Algeria,N_Afr,h,-2.227076835703432,S,243454.027340409,-542190.8248485349,0
banp,Angola,C_Afr,b,243392.94854430505,H,290593.57913579885,70728428053.90492,70728428053.90492
banp,Angola,C_Afr,b,243392.94854430505,S,351116.2436842781,85459217832.11717,85459217832.11717
banp,Angola,C_Afr,p,106993.68102107184,H,290593.57913579885,31091676712.82726,31091676712.82726
banp,Angola,C_Afr,p,106993.68102107184,S,351116.2436842781,37567219378.07258,37567219378.07258
banp,Angola,C_Afr,h,0,H,290593.57913579885,0,0
banp,Angola,C_Afr,h,0,S,351116.2436842781,0,0
banp,Benin,W_Afr,b,11445.74550323715,H,274897.86721417477,3146411027.5161242,3146411027.5161242
banp,Benin,W_Afr,b,11445.74550323715,S,333418.3368363073,3816221429.540974,3816221429.540974
banp,Benin,W_Afr,p,4190.000301536797,H,274897.86721417477,1151822146.5192149,1151822146.5192149
banp,Benin,W_Afr,p,4190.000301536797,S,333418.3368363073,1397022931.8820252,1397022931.8820252
banp,Benin,W_Afr,h,0,H,274897.86721417477,0,0
banp,Benin,W_Afr,h,0,S,333418.3368363073,0,0
banp,Cameroon,C_Afr,b,606426.8170585443,H,630909.6630028712,382600538786.31,382600538786.31
banp,Cameroon,C_Afr,b,606426.8170585443,S,699978.9735655665,424486020947.2734,424486020947.2734
banp,Cameroon,C_Afr,p,236215.73640639964,H,630909.6630028712,149030790652.13666,149030790652.13666
banp,Cameroon,C_Afr,p,236215.73640639964,S,699978.9735655665,165346048709.78604,165346048709.78604
banp,Cameroon,C_Afr,h,0,H,630909.6630028712,0,0
banp,Cameroon,C_Afr,h,0,S,699978.9735655665,0,0
banp,Central African Republic,C_Afr,b,136945.75587560458,H,517008.7857042295,70802158952.59418,70802158952.59418
banp,Central African Republic,C_Afr,b,136945.75587560458,S,595858.8126469358,81600335493.07487,81600335493.07487
banp,Central African Republic,C_Afr,p,61010.3433915446,H,517008.7857042295,31542883552.260536,31542883552.260536
banp,Central African Republic,C_Afr,p,61010.3433915446,S,595858.8126469358,36353550772.46759,36353550772.46759
banp,Central African Republic,C_Afr,h,0,H,517008.7857042295,0,0
banp,Central African Republic,C_Afr,h,0,S,595858.8126469358,0,0
banp,Congo,C_Afr,b,69840.15252907372,H,599698.3701039595,41883025639.49743,41883025639.49743
banp,Congo,C_Afr,b,69840.15252907372,S,660952.2601055012,46161006660.20421,46161006660.20421
banp,Congo,C_Afr,p,26816.732385352498,H,599698.3701039595,16081950703.009958,16081950703.009958
banp,Congo,C_Afr,p,26816.732385352498,S,660952.2601055012,17724579878.743122,17724579878.743122
banp,Congo,C_Afr,h,0,H,599698.3701039595,0,0
banp,Congo,C_Afr,h,0,S,660952.2601055012,0,0
banp,Côte d’Ivoire,W_Afr,b,348727.3929419582,H,543682.1897666845,189596872626.31088,189596872626.31088
banp,Côte d’Ivoire,W_Afr,b,348727.3929419582,S,607634.631536342,211898840916.91592,211898840916.91592
banp,Côte d’Ivoire,W_Afr,p,128309.74853428653,H,543682.1897666845,69759725051.53354,69759725051.53354
banp,Côte d’Ivoire,W_Afr,p,128309.74853428653,S,607634.631536342,77965446773.15189,77965446773.15189
banp,Côte d’Ivoire,W_Afr,h,0,H,543682.1897666845,0,0
banp,Côte d’Ivoire,W_Afr,h,0,S,607634.631536342,0,0
