region,scenario,c_loss_ratio,co2_low,co2_high,luc
C_Afr,b,H,6445138653151.056,6446474984846.428,23625605.34681186
C_Afr,b,S,7771927324857.273,7773446900553.085,23625605.34681186
C_Afr,h,H,-3472455053.38111,0,-16031.359737905412
C_Afr,h,S,-4276484415.7058463,0,-16031.359737905412
C_Afr,p,H,2329360071586.9595,2332556877252.6685,9441880.98057423
C_Afr,p,S,2850552928133.722,2854525393844.3237,9441880.98057423
E_Afr,b,H,35665263854613.72,35665263854613.72,81449890.70481518
E_Afr,b,S,41254545045224.42,41254545045224.42,81449890.70481518
E_Afr,h,H,-24110162239.616966,0,-76544.38571617495
E_Afr,h,S,-29087805027.552372,0,-76544.38571617495
E_Afr,p,H,12737015088704.432,12754299156469.795,29892421.353047993
E_Afr,p,S,14764357928067.79,14785073499597.178,29892421.353047993
N_Afr,b,H,250238601423.35144,250238601423.35144,3884165.5861535226
N_Afr,b,S,326283934983.6467,326283934983.6467,3884165.5861535226
N_Afr,h,H,-34834240773.86183,0,-715460.3388435721
N_Afr,h,S,-45202838541.21743,0,-715460.3388435721
N_Afr,p,H,-1850379790.5286605,29380407355.189728,-220818.00957979079
N_Afr,p,S,-2137068437.1021698,38421806548.307945,-220818.00957979079
S_Afr,b,H,1088817958357.0579,1089250507139.2439,11707626.477833388
S_Afr,b,S,1400720687932.2737,1401222754052.6057,11707626.477833388
S_Afr,h,H,-17598860337.35251,0,-83378.25151147715
S_Afr,h,S,-21187100991.368847,0,-83378.25151147715
S_Afr,p,H,699080785572.6467,705340323292.6432,8300353.836660316
S_Afr,p,S,911313462661.4794,919097198069.3309,8300353.836660316
W_Afr,b,H,29992886694848.125,29992954833016.1,133176438.92800862
W_Afr,b,S,36284938837583.66,36285017117848.86,133176438.92800862
W_Afr,h,H,-20331745077.620842,0,-72554.00553164595
W_Afr,h,S,-24802484876.71067,0,-72554.00553164595
W_Afr,p,H,12874745378410.62,12894792061076.654,57358089.417345636
W_Afr,p,S,15599571903770.344,15623986504859.973,57358089.417345636
