region,rebound,c_loss_ratio,co2_low,co2_high,luc,a
C_Afr,0,H,-3472455053.3811107,0,-16031.359737905412,16670566.972736593
C_Afr,0,S,-4276484415.705847,0,-16031.359737905412,16670566.972736593
C_Afr,0.1,H,624720373235.0297,625476056185.8766,2239484.3603475266,18926082.692822028
C_Afr,0.1,S,751631476724.8501,752504725857.379,2239484.3603475266,18926082.692822028
C_Afr,0.2,H,1252913201523.4407,1253291059961.9153,4495000.080432959,21181598.41290746
C_Afr,0.2,S,1507539437865.4062,1507968360215.3381,4495000.080432959,21181598.41290746
C_Afr,0.3,H,1881106029811.8518,1881638812183.2158,6750515.800518392,23437114.13299289
C_Afr,0.3,S,2263447399005.9624,2264053620388.7456,6750515.800518392,23437114.13299289
C_Afr,0.4,H,2509298858100.262,2509986564404.5156,9006031.520603824,25692629.853078324
C_Afr,0.4,S,3019355360146.518,3020138880562.153,9006031.520603824,25692629.853078324
C_Afr,0.5,H,3137491686388.6733,3138334316625.816,11261547.240689255,27948145.573163755
C_Afr,0.5,S,3775263321287.074,3776224140735.56,11261547.240689255,27948145.573163755
C_Afr,0.6,H,3765684514677.085,3766682068847.1167,13517062.96077469,30203661.29324919
C_Afr,0.6,S,4531171282427.631,4532309400908.968,13517062.96077469,30203661.29324919
C_Afr,0.7,H,4393877342965.4956,4395029821068.417,15772578.680860123,32459177.01333462
C_Afr,0.7,S,5287079243568.187,5288394661082.375,15772578.680860123,32459177.01333462
C_Afr,0.8,H,5022070171253.906,5023377573289.717,18028094.40094555,34714692.73342005
C_Afr,0.8,S,6042987204708.742,6044479921255.782,18028094.40094555,34714692.73342005
C_Afr,0.9,H,5650262999542.317,5651725325511.018,20283610.121030983,36970208.453505486
C_Afr,0.9,S,6798895165849.298,6800565181429.189,20283610.121030983,36970208.453505486
C_Afr,1,H,6278455827830.728,6280073077732.317,22539125.841116417,39225724.17359091
C_Afr,1,S,7554803126989.8545,7556650441602.597,22539125.841116417,39225724.17359091
E_Afr,0,H,-24110162239.616955,0,-76544.38571617492,53262556.62225228
E_Afr,0,S,-29087805027.552357,0,-76544.38571617492,53262556.62225228
E_Afr,0.1,H,3198731653090.817,3208519233446.1606,7406513.981059165,60745614.98902761
E_Afr,0.1,S,3704303926827.708,3716057324548.9766,7406513.981059165,60745614.98902761
E_Afr,0.2,H,6421573468421.251,6424471587258.025,14889572.347834507,68228673.35580295
E_Afr,0.2,S,7437695658682.969,7441081758505.424,14889572.347834507,68228673.35580295
E_Afr,0.3,H,9644415283751.686,9644737877377.922,22372630.714609846,75711731.7225783
E_Afr,0.3,S,11171087390538.23,11171466549794.268,22372630.714609846,75711731.7225783
E_Afr,0.4,H,12867257099082.12,12867302659428.578,29855689.081385188,83194790.08935364
E_Afr,0.4,S,14904479122393.49,14904529683468.537,29855689.081385188,83194790.08935364
E_Afr,0.5,H,16090098914412.55,16090125799809.582,37338747.44816052,90677848.45612897
E_Afr,0.5,S,18637870854248.75,18637900690601.688,37338747.44816052,90677848.45612897
E_Afr,0.6,H,19312940729742.99,19312948940190.59,44821805.81493587,98160906.82290432
E_Afr,0.6,S,22371262586104.01,22371271697734.844,44821805.81493587,98160906.82290432
E_Afr,0.7,H,22535782545073.42,22535782545073.42,52304864.18171121,105643965.18967965
E_Afr,0.7,S,26104654317959.273,26104654317959.273,52304864.18171121,105643965.18967965
E_Afr,0.8,H,25758624360403.855,25758624360403.855,59787922.548486546,113127023.556455
E_Afr,0.8,S,29838046049814.535,29838046049814.535,59787922.548486546,113127023.556455
E_Afr,0.9,H,28981466175734.285,28981466175734.285,67270980.91526188,120610081.92323034
E_Afr,0.9,S,33571437781669.793,33571437781669.793,67270980.91526188,120610081.92323034
E_Afr,1,H,32204307991064.72,32204307991064.72,74754039.28203721,128093140.29000567
E_Afr,1,S,37304829513525.05,37304829513525.05,74754039.28203721,128093140.29000567
N_Afr,0,H,-34834240773.86183,0,-715460.3388435721,16756714.506873248
N_Afr,0,S,-45202838541.21742,0,-715460.3388435721,16756714.506873248
N_Afr,0.1,H,-3306995032.912118,5849983413.222937,-224204.93643705198,17247969.909279767
N_Afr,0.1,S,-4142303277.4929676,7924601206.412863,-224204.93643705198,17247969.909279767
N_Afr,0.2,H,28220250708.037457,27562165816.77149,267050.46596946655,17739225.31168629
N_Afr,0.2,S,36918231986.23131,36331631777.501915,267050.46596946655,17739225.31168629
N_Afr,0.3,H,59747496448.98708,59300973365.23287,758305.8683759854,18230480.714092806
N_Afr,0.3,S,77978767249.95566,77576190362.34093,758305.8683759854,18230480.714092806
N_Afr,0.4,H,91274742189.9367,91015145333.77194,1249561.270782505,18721736.116499323
N_Afr,0.4,S,119039302513.68001,118808085861.21396,1249561.270782505,18721736.116499323
N_Afr,0.5,H,122801987930.8864,122620928617.9347,1740816.6731890247,19212991.518905845
N_Afr,0.5,S,160099837777.40442,159941366597.62845,1740816.6731890247,19212991.518905845
N_Afr,0.6,H,154329233671.83606,154199422494.63785,2232072.075595544,19704246.921312366
N_Afr,0.6,S,201160373041.12878,201048418779.58398,2232072.075595544,19704246.921312366
N_Afr,0.7,H,185856479412.78574,185763398858.37592,2723327.478002064,20195502.323718883
N_Afr,0.7,S,242220908304.8532,242141152644.22183,2723327.478002064,20195502.323718883
N_Afr,0.8,H,217383725153.73538,217327275394.0691,3214582.8804085837,20686757.726125404
N_Afr,0.8,S,283281443568.57764,283233898641.61053,3214582.8804085837,20686757.726125404
N_Afr,0.9,H,248910970894.685,248879201111.57135,3705838.2828151025,21178013.12853192
N_Afr,0.9,S,324341978832.30194,324315436315.834,3705838.2828151025,21178013.12853192
N_Afr,1,H,280438216635.6346,280432441037.7961,4197093.685221621,21669268.530938443
N_Afr,1,S,365402514096.02625,365398715514.1964,4197093.685221621,21669268.530938443
S_Afr,0,H,-17598860337.35251,0,-83378.25151147715,13369600.824142653
S_Afr,0,S,-21187100991.368847,0,-83378.25151147715,13369600.824142653
